"title","description","city","contract_type","workday","company_name","salary_min","salary_max","salary_period","salary_currency","teleworking","publish_date"
JEFE DE PROYECTO - JEFE DE OBRA,"Buscamos un profesional titulado en Ingeniería Industrial o equivalente con más 5 años de experiencia como Director de Proyecto o Jefe de Obra en Proyectos Industriales, Energía, Cogeneración y/o Servicios Energéticos, para incorporase en nuestro equipo de LEVANTE (VALENCIA), realizando las siguientes funciones:
-	Responsable de la Planificación y gestión integral del proyecto
-	Máximo responsable de los resultados del proyecto en calidad, margen y plazos 
-	Estudios técnico-económicos, presupuesto cero, análisis de viabilidad e identificación de riesgos. 
-	Control y seguimiento de la ejecución de la obra 
-	Elaboración y seguimiento de presupuestos de obra. 
-	Control de desviaciones presupuestarias y acciones correctoras. 
-	Coordinación y seguimiento de equipos de trabajo (subcontratas). 
-	Organización general de la obra. 
-	Elaboración de documentación. 
-	Resolución de problemas técnicos. 
-	Puesta en marcha.",Valencia,Contrato indefinido,Jornada completa,ANERPRO ENERGIA Y PROCESO,,,,,Trabajo solo presencial,2022-01-27
Auxiliar de Estación de tren con  DISCAPACIDAD - PARA ORIHUELA,"Grupo empresarial socialmente responsable, precisa incorporar Auxiliares de Estación de Tren para Orihuela

IMPRESCINDIBLE: CONTRA CON CERTIFICADO DE DISCAPACIDAD IGUAL O SUPERIOR AL 33%
NECESIDAD DE ESTAR DE PIE DURANTE LA JORNADA LABORAL
Se ofrece
Contrato Estable a Jornada Completa o Parcial 
Trabajo a Turnos de Lunes a Domingo. 


Funciones:
ÁREA DE MANTENIMIENTO
Apertura y cierre de la estación. Control diario del estado y funcionamiento de los equipos e instalaciones de la estación, reactivándolas en caso de necesidad, tramitando en caso de avería los avisos correspondientes. Control de mobiliario de la estación y otras necesidades logísticas, incluyendo, en su caso, el traslado y colocación de peanas, expositores, papeleras, documentación de archivo, etc. Ordenación de carros en los puntos de anclaje, si existieran, así como acopio, distribución y recuento de los existentes.
ATENCIÓN A CLIENTES Y GESTIÓN DE SERVICIOS DE ESTACIÓN
Atender de forma personalizada las solicitudes de los clientes de información y orientación sobre los diferentes servicios que se prestan en las estaciones.
ATENCIÓN MEDIOS DE INFORMACIÓN A CLIENTES
Controlar y supervisar que la información impresa facilitada, expuesta al público en vitrinas de información, cuadros horarios, expositores, o medios similares existentes, esté vigente y conforme con el servicio que se ofrece a los clientes.
CONTROL DE ACTIVIDADES Y ATENCIÓN SERVICIOS GENERALES
Seguimiento y control diario del estado de limpieza de la estación
Seguimiento y control de aspectos ambientales.
Seguimiento y control de consumos energéticos y de suministros de agua y gas.
Seguimiento y control de equipamientos y medios auxiliares existentes: carros portaequipajes, bancos, vitrinas, etc
COLABORACIÓN EN SITUACIONES DE INCIDENCIA O EMERGENCIAS
Gestión de accidentes de viajeros, incluyendo la atención a clientes
afectados y la cumplimentación de cuanta documentación administrativa y formularios sean necesarios para la correcta prestación del servicio: formularios de notificación de accidente, libro de reclamaciones, etc.
CONTROL Y VIGILANCIA DEL ESTADO DE ACTIVOS Y SEGURIDAD EN LA ESTACIÓN
Revisión y comprobación del estado de los activos de las estaciones. 
OTROS SERVICIOS COMPLEMENTARIOS
Colaboración para la ordenación de accesos de vehículos a la estación.
Colaboración en tareas de control de acceso a salas de embarque, en los casos que se dispusiera de dicho servicio en la estación.",Orihuela,Contrato indefinido,Jornada intensiva - indiferente,ILUNION FACILITY SERVICES,15000,18000,YEAR,EUR,Trabajo solo presencial,2022-01-27
Auxiliar de Estación de tren con  DISCAPACIDAD - PARA BENICASIM,"Grupo empresarial socialmente responsable, precisa incorporar Auxiliares de Estación de Tren para Benicasim

IMPRESCINDIBLE: CONTRA CON CERTIFICADO DE DISCAPACIDAD IGUAL O SUPERIOR AL 33%
NECESIDAD DE ESTAR DE PIE DURANTE LA JORNADA LABORAL
Se ofrece
Contrato Estable a Jornada Completa o Parcial 
Trabajo a Turnos de Lunes a Domingo. 


Funciones:
ÁREA DE MANTENIMIENTO
Apertura y cierre de la estación. Control diario del estado y funcionamiento de los equipos e instalaciones de la estación, reactivándolas en caso de necesidad, tramitando en caso de avería los avisos correspondientes. Control de mobiliario de la estación y otras necesidades logísticas, incluyendo, en su caso, el traslado y colocación de peanas, expositores, papeleras, documentación de archivo, etc. Ordenación de carros en los puntos de anclaje, si existieran, así como acopio, distribución y recuento de los existentes.
ATENCIÓN A CLIENTES Y GESTIÓN DE SERVICIOS DE ESTACIÓN
Atender de forma personalizada las solicitudes de los clientes de información y orientación sobre los diferentes servicios que se prestan en las estaciones.
ATENCIÓN MEDIOS DE INFORMACIÓN A CLIENTES
Controlar y supervisar que la información impresa facilitada, expuesta al público en vitrinas de información, cuadros horarios, expositores, o medios similares existentes, esté vigente y conforme con el servicio que se ofrece a los clientes.
CONTROL DE ACTIVIDADES Y ATENCIÓN SERVICIOS GENERALES
Seguimiento y control diario del estado de limpieza de la estación
Seguimiento y control de aspectos ambientales.
Seguimiento y control de consumos energéticos y de suministros de agua y gas.
Seguimiento y control de equipamientos y medios auxiliares existentes: carros portaequipajes, bancos, vitrinas, etc
COLABORACIÓN EN SITUACIONES DE INCIDENCIA O EMERGENCIAS
Gestión de accidentes de viajeros, incluyendo la atención a clientes
afectados y la cumplimentación de cuanta documentación administrativa y formularios sean necesarios para la correcta prestación del servicio: formularios de notificación de accidente, libro de reclamaciones, etc.
CONTROL Y VIGILANCIA DEL ESTADO DE ACTIVOS Y SEGURIDAD EN LA ESTACIÓN
Revisión y comprobación del estado de los activos de las estaciones. 
OTROS SERVICIOS COMPLEMENTARIOS
Colaboración para la ordenación de accesos de vehículos a la estación.
Colaboración en tareas de control de acceso a salas de embarque, en los casos que se dispusiera de dicho servicio en la estación.",Benicasim/Benicàssim,Contrato indefinido,Jornada intensiva - indiferente,ILUNION FACILITY SERVICES,15000,18000,YEAR,EUR,Trabajo solo presencial,2022-01-27
Analista de Crédito Corporativo - Equipo de Suscripción,"We are one of the Great Place to Work!

Elavon brinda a las empresas uno de los servicios de procesamiento de pagos con tarjeta más seguros, rentables y completos disponibles en el mercado hoy en día.

Nuestro Analista de Credito corporativo del Equipo de suscripcion es responsable de: 

Revisiones de crédito en casos corporativos de nivel medio.
Negociaciones con clientes y RM, haciendo recomendaciones/decisiones con respecto a la incorporación de nuevos clientes o instalaciones adicionales para los existentes.

Recomendaciones crediticias en casos con exposiciones de riesgo entre 100.000€ y 750.000€.

Cumplir con los plazos de incorporación del cliente y la gestión eficaz del tiempo

Investigación y análisis del riesgo de crédito.

Revisiones desencadenantes para sus clientes y negociar garantías si corresponde.

Supervisa las cuentas de los clientes para maximizar la calidad crediticia y minimizar el riesgo y la pérdida potencial.
Control sobre la situación crediticia de las cuentas y proporciona información relativa a consultas de crédito, según corresponda.

Funciones:
· Investiga, revisa e interpreta todas las fuentes disponibles de crédito e información financiera, incluidos los servicios de informes, las oficinas de crédito, los estados financieros y la información de gestión.
· Coordina las relaciones entre los gerentes de relaciones, las partes interesadas internas y los socios para facilitar la incorporación de nuevos clientes o instalaciones para los existentes.
· Proporciona información de crédito y referencias para clientes, gerentes de relaciones, gerencia u otras agencias según lo soliciten.
· Trabajar de cerca con Fraude, Cobranzas y otras unidades de negocios para minimizar el riesgo y la pérdida potencial.
· Construir relaciones sólidas y positivas, compartir conocimientos y mejores prácticas con otras áreas comerciales de Elavon.
· Ayudar a la gerencia a garantizar que todas las partes relacionadas cumplan con la Política de crédito.
· Trabajar en  colaboración con el equipo de CDD al incorporar un nuevo cliente para garantizar que se cumplan los plazos",Madrid,Contrato indefinido,Jornada completa,Elavon Financial Services DAC,,,,,,2022-01-27
RESPONSABLE CUSTOMER SERVICE,"Le corresponde planificar, organizar y supervisar las actividades y tareas desarrolladas por el Servicio de Atención al cliente, con el objetivo de optimizar el funcionamiento del mismo y proporcionar una adecuada calidad de servicio a los clientes, siguiendo los procedimientos y las instrucciones de la Dirección Comercial.
Se responsabiliza de proporcionar una atención al cliente de calidad, ofreciendo una adecuada imagen de la empresa.
Funciones:
- Dirigir y coordinar el Servicio de Atención al cliente para el correcto funcionamiento de éste, con el fin de fidelizar a los clientes y proporcionar una atención al cliente de calidad. 
- Organizar el reparto de tareas y la asignación de zonas y/o clientes al personal del Servicio de atención al cliente, en función de las prioridades establecidas junto a la Dirección comercial.
- Garantizar la adecuada gestión, tramitación, seguimiento y resolución de incidencias, reclamaciones y quejas. 
- Evaluar el grado de satisfacción de los clientes, a través de las encuestas de satisfacción, efectuando las mejoras oportunas, en su caso.
- Mantenimiento de los grupos de clientes y comunicación con los clientes a través de envío de mailing, información, avisos, etc...",Castellón de la Plana/Castelló de la Plana,Contrato indefinido,Jornada completa,Empresa de distribución,18000,21000,YEAR,EUR,Trabajo solo presencial,2022-01-27
INGENIERO CIVIL/OBRAS PUBLICAS/CAMINOS PARA CALCULO DE ESTRUCTURAS,"NIROSA, Ingeniería de Proyectos e Integración de Procesos, especializada en Piping, Estructuras e Instalaciones requiere la incorporación de un Ingeniero para Cálculo de estructuras.

Sus funciones serán las siguientes:
·	Cálculo y diseño estructural: estructuras, soportes de tuberías, plataformas industriales.
·	Elaboración de memorias de cálculo, estándares de ingeniería, especificaciones técnicas...
Requisitos:
·	Ingeniería Civil /Ingeniería de Obras Públicas/ /Ingeniería de Caminos, Canales y Puertos.
·	Experiencia demostrable en software de cálculo y diseño estructural Cypecad.
·	Experiencia en cálculo sísmico según normativa Eurocódigo.
·	Revisión de planos constructivos
·	Mediciones y Presupuestos
·	Al menos 3 años de experiencia en puesto similar.
·	Actitud proactiva.

Será valorable:
·	Conocimiento de Tekla, Robot Structural, Idea Statica
·	Conocimiento de inglés.
·	Conocimiento de programa de Gestión de Proyectos y Presupuestos.
·	Conocimiento de Ofimática y Autocad.

Ofrecemos:
·	Contrato fijo
·	Salario a convenir según valía del candidato.
·	Puesto en oficina de Palencia
·	Incorporación inmediata",Palencia,Contrato indefinido,Jornada completa,NIROSA,,,,,Trabajo solo presencial,2022-01-27
Auxiliar Enfermería Clínica Capilar,"DHI Global Medical Group es líder mundial en el diagnóstico, la prevención y el tratamiento de la caída del cabello. Con 75 centros en todo el mundo y 50 años de experiencia. Estamos seleccionando para nuestra clínica en Barcelona a un/una técnico/auxiliar de enfermería.
Preferiblemente con experiencia en implante capilar y con implantadores. 

Buscamos a un/una profesional comprometido/a con la satisfacción y bienestar del paciente, dinámico/a, ágil, responsable de asistir al médico en los procedimientos capilares, preparación del material médico y quirúrgico, atención al paciente antes y después de los tratamientos. Te incorporas a un equipo formado por un gerente de clínica, personal de att al paciente, médico estético y técnicos de enfermería capacitados por DHI Global, en una clínica de última generación ubicada en el centro de Barcelona.

Te ofrecemos la oportunidad de desarrollarte profesionalmente en una empresa de reconocido prestigio en la restauración capilar, que te formará en la última tecnología de trasplante directo de cabello. Contrato indefinido a tiempo completo, atractiva retribución, salario fijo más variable por objetivos.",Barcelona,Contrato indefinido,Jornada completa,GCG MEDICAL S.L.,18000,24000,YEAR,EUR,Trabajo solo presencial,2022-01-27
Analista de negocio,"Contrato indefinido, 100% teletrabajo inicialmente, seguro médico y otros beneficios sociales como formación, asesoramiento y soporte en ciberseguridad, ciberinteligencia y derecho digital además de un salario acorde a tu perfil y experiencia.

¡Esto es lo que ofrecemos para unirte a nuestro equipo de SmartHC!

¿Qué esperamos de ti?

-Proactividad máxima y total autonomía.
-Alta orientación al pensamiento analítico,
-Capacidad de gestión.
-Alta capacidad de comunicación.
-Deseable conocimiento del sector seguros (rama de Salud).

¿Cuáles serán tus funciones?

Dentro del ecosistema de SALUD y en el contexto del proyecto de Migración de pólizas del sistema origen al sistema destino:

· Analizar y aterrizar los requerimientos del usuario respecto a la migración de datos.
· Analizar y entender los procesos de negocio ""AS-IS"" involucrados en Salud: contratación, siniestros, gestión de recibos, prestaciones...
· Análisis profundo del modelo de datos y la información intercambiada en dichos procesos de negocio
· Levantar y abordar el gap de información entre los modelos de datos del sistema origen y el target
· Analizar el impacto de dicho gap en los distintos sistemas que soportan los procesos de negocio
· Proponer las soluciones y cambios que permitan a los procesos de negocio de Salud funcionar una vez migradas las pólizas al nuevo sistema
· Colaborar con distintas áreas técnicas y de negocio para el levantamiento de la información y la implementación eficiente de los cambios a ejecutar
· Análisis de riesgos y propuestas de acciones preventivas/correctoras y de mejora
· Desarrollo de la documentación funcional pertinente
· Evaluar el rendimiento de los procesos de migración de datos generando informes y reportes
· Elaborar los planes de pruebas E2E, colaborar en las mismas y evaluar la funcionalidad del producto final
· Colaborar en el análisis y la resolución de incidencias.

Si crees que tu perfil encaja con lo que buscamos, háznoslo saber y nos pondremos en contacto contigo lo antes posible.",Madrid,Contrato indefinido,Jornada completa,Smart Human Capital,24000,36000,YEAR,EUR,Teletrabajo posible,2022-01-27
Técnico junior en Contabilidad,"Importante empresa del sector financiero abre proceso para incorporar a un/a técnico/a junior en su unidad de Información Financiera y Contabilidad, con el objetivo de realizar el análisis y la ejecución de las necesidades normativas y de información derivadas de la operativa de la entidad, además del seguimiento diario de la exactitud de la información recibida.

CARACTERÍSTICAS BÁSICAS
Duración: Contrato indefinido.
Incorporación inmediata.
Horario 09:00 a 18:00 horas. 
Ubicación Madrid-Centro. 
Salario: 25.000€ brutos /año.


PERFIL SOLICITADO:
Licenciado o Diplomado en Economía, ADE, Contabilidad y Financieras.
Master en Análisis Financiero o Máster en Contabilidad - Reporting 
Manejoavanzado  del Paquete de Microsoft Office avanzado (bbdd).
Inglés nivel B2 - C1.",Madrid,Contrato indefinido,Jornada completa,CECABANK,24000,24000,YEAR,EUR,Teletrabajo posible,2022-01-27
Dependiente/a WonderStore  - MARINEDA,"¿Eres un entusiasta del universo Wonder y quieres formar parte de este proyecto?
Si eres una persona con un don de gente innato, transmites felicidad en todo momento y eres muy buen@ en la atención al cliente, ¡puede que seas la persona que estamos buscando!
Para nuestra Wonder Store, que estará ubicada en el Oviedo, estamos buscando a alguien que quiera formar parte de nuestro equipo de vendedores/as con un turno de 30h para trabajar de viernes a domingo con flexibilidad horaria.
Funciones:
Bajo la supervisión de el/la Store Manager de la tienda te ocuparás de:
·	Atender y aconsejar de forma proactiva a los clientes que acuden a la tienda;
·	Tramitar las devoluciones de los productos y ofrecer soluciones alternativas a los clientes;
·	Colocar los productos de las distintas campañas en los espacios destinados dentro de la tienda de acuerdo con las guías de estilo diseñadas por la compañía;
·	Ejecutar las estrategias de marketing establecidas por los responsables;
·	Transmitir la visión y valores de la marca en cada detalle.

Requisitos mínimos
Eres nuestr@ candidat@ ideal si tienes:
·	Formación Bachillerato o estudios superiores;  
·	Experiencia previa demostrable en venta de al menos 1 año;
·	Disponibilidad para trabajar con turnos rotativos;
·	Has trabajado con KPI's y conoces como interpretarlos.
·	Excelente orientación al cliente, actitud proactiva y orientada al trabajo en equipo.
Oferta:
·	Ser parte de una de las empresas más cuqui de toda España;
·	Formar parte de un proyecto súper importante para la compañía, nuestras primeras aperturas.
·	Contrato , con posibilidad de conversión a indefinido.
·	Salario según convenio de comercio de la provincia.

Mr Wonderful cuenta con el compromiso de establecer prácticas que integren la igualdad de trato y oportunidades entre mujeres y hombres, así como de impulsar y fomentar medidas para conseguir la igualdad real de oportunidades entre mujeres y hombres, sin discriminar directa o indirectamente por razón de género.",A Coruña,Contrato de duración determinada,Jornada completa,MR. WONDERFUL COMUNICATION SL.,,,,,Trabajo solo presencial,2022-01-27
GESTOR COMERCIAL / PROYECTOS,"En cador trabajamos para crear espacios únicos capaces de transmitir la esencia y los valores de nuestros clientes.
Tanto los trabajadores como los visitantes deben percibir que no están en cualquier oficina, sino en un espacio con carácter de marca.
 Si quieres participar en nuestro proyecto de expansión estamos seleccionando para nuestras oficinas en Madrid un gestor/ asesor comercial para integrarse en nuestra estructura de empresa .

SUS FUNCIONES serán:
*Interlocución directa con el cliente. Realización de visitas comerciales.
*Detección de posibles áreas de negocio.
*Generación de nuevas oportunidades de negocio ( Seguimiento y cierre de negociaciones y operaciones )y análisis de oportunidades perdidas.
*Análisis de las necesidades de los clientes y colaboración en la preparación de propuestas económicas.
*Negociación de contratos comerciales de grandes cuentas, solo o colaborando con otros departamentos.
*Familiarización con programas de CRM.",Madrid,Contrato indefinido,Jornada completa,cador espacios,,,,,Trabajo solo presencial,2022-01-27
